2025-03-21 06:15:28,128 INFO    StreamThr :3765065 [internal.py:wandb_internal():86] W&B internal server running at pid: 3765065, started at: 2025-03-21 06:15:28.125568
2025-03-21 06:15:28,138 DEBUG   HandlerThread:3765065 [handler.py:handle_request():146] handle_request: status
2025-03-21 06:15:28,153 INFO    WriterThread:3765065 [datastore.py:open_for_write():87] open: /home/xyq/SubScaf/wandb/run-20250321_061528-u50ulhzc/run-u50ulhzc.wandb
2025-03-21 06:15:28,159 DEBUG   SenderThread:3765065 [sender.py:send():378] send: header
2025-03-21 06:15:28,160 DEBUG   SenderThread:3765065 [sender.py:send():378] send: run
2025-03-21 06:15:29,444 INFO    SenderThread:3765065 [dir_watcher.py:__init__():211] watching files in: /home/xyq/SubScaf/wandb/run-20250321_061528-u50ulhzc/files
2025-03-21 06:15:29,444 INFO    SenderThread:3765065 [sender.py:_start_run_threads():1099] run started: u50ulhzc with start time 1742537728.120499
2025-03-21 06:15:29,470 DEBUG   HandlerThread:3765065 [handler.py:handle_request():146] handle_request: check_version
2025-03-21 06:15:29,472 DEBUG   SenderThread:3765065 [sender.py:send_request():405] send_request: check_version
2025-03-21 06:15:29,727 DEBUG   HandlerThread:3765065 [handler.py:handle_request():146] handle_request: run_start
2025-03-21 06:15:29,792 DEBUG   HandlerThread:3765065 [system_info.py:__init__():26] System info init
2025-03-21 06:15:29,793 DEBUG   HandlerThread:3765065 [system_info.py:__init__():41] System info init done
2025-03-21 06:15:29,793 INFO    HandlerThread:3765065 [system_monitor.py:start():194] Starting system monitor
2025-03-21 06:15:29,796 INFO    HandlerThread:3765065 [system_monitor.py:probe():214] Collecting system info
2025-03-21 06:15:29,796 INFO    SystemMonitor:3765065 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-03-21 06:15:29,801 INFO    SystemMonitor:3765065 [interfaces.py:start():190] Started cpu monitoring
2025-03-21 06:15:29,806 INFO    SystemMonitor:3765065 [interfaces.py:start():190] Started disk monitoring
2025-03-21 06:15:29,816 INFO    SystemMonitor:3765065 [interfaces.py:start():190] Started gpu monitoring
2025-03-21 06:15:29,822 INFO    SystemMonitor:3765065 [interfaces.py:start():190] Started memory monitoring
2025-03-21 06:15:29,825 INFO    SystemMonitor:3765065 [interfaces.py:start():190] Started network monitoring
2025-03-21 06:15:29,869 DEBUG   HandlerThread:3765065 [system_info.py:probe():150] Probing system
2025-03-21 06:15:29,878 DEBUG   HandlerThread:3765065 [gitlib.py:_init_repo():56] git repository is invalid
2025-03-21 06:15:29,879 DEBUG   HandlerThread:3765065 [system_info.py:probe():198] Probing system done
